outcome,control_rate,treatment_rate,ate,se,ci_low,ci_high,z,p_value,n_t,n_c,relative_lift
conversion,0.0019375880152813366,0.0030894610674129645,0.0011518730521316279,3.437168357507502e-05,0.0010845045523244809,0.0012192415519387749,33.51226743420042,0.0,11882655.0,2096937.0,0.594488117725262
visit,0.03820095691954503,0.048543360048743316,0.010342403129198284,0.00014631642098864926,0.010055622944060531,0.010629183314336037,70.68518392751429,0.0,11882655.0,2096937.0,0.27073675539019615
